robot_model,movement,cartesian_path,reference_frame,is_relative,velocity,acceleration,desired_x,desired_y,desired_z,desired_roll,desired_pitch,desired_yaw,measured_x,measured_y,measured_z,measured_roll,measured_pitch,measured_yaw
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.305,3.141592653589793,0,-1.5707963267948966,0.2582269557188276,0.1357964325656813,0.30501904116367096,-3.141282946442058,0.0005522812473541614,-1.570642821358886
vs060,move_to_pose,True,WORLD,True,100,100,0.25822695571882687,0.1357964325656804,0.005019041163669857,-3.1412829464420597,0.000552281247352213,-1.5706428213588848,0.2582660067759284,0.13582090664984564,0.005080366569652106,-3.1415525331635306,0.00037655394399934116,-1.5706463272892643
vs060,move_to_pose,True,WORLD,True,100,100,0.2582660067759283,0.13582090664984584,0.3050803665696521,-3.1415525331635306,0.00037655394399934116,-1.5706463272892637,0.2582149110120338,0.135794021069933,0.3050309505594195,-3.141383067720273,0.0004656470797962495,-1.5706462710424345
vs060,move_approach,True,WORLD,False,100,100,0.4877,0.08630000000000002,0.24149999999999996,-3.141592653589793,0.0,-2.478367537831948,0.48741543243689855,0.08627788351379084,0.24150306743918137,-3.141264011184976,0.00039493405323868744,-2.4784012213973696
vs060,move_to_pose,True,TOOL,True,100,100,0.48747460128777964,0.0862760944186847,0.1265029134201272,-3.141264016746406,0.0003950055642081683,-2.4784012213822955,0.4875341212756413,0.08628663400044356,0.12648808144797316,-3.1413451711391702,0.00024215885680191996,-2.478401256161404
vs060,move_to_pose,True,TOOL,True,100,100,0.4874946546975328,0.08629191739129596,0.24148807455438553,-3.1413451711391702,0.0002421588568023309,-2.478401256161405,0.48737114656978153,0.0862700380470205,0.24146321057901235,-3.141196796170673,0.0005215912901205121,-2.478401178585214
vs060,move_approach,True,WORLD,False,100,100,0.362547014212016,-0.014610796296998518,0.16104822155938076,3.1276300195738385,0.8918632477691022,-2.478367537831948,0.36261043070572074,-0.014856013884940025,0.1613936089658026,3.126863375880334,0.8915500867995428,-2.4787197419613713
vs060,move_to_pose,True,TOOL,True,100,100,0.4320874262034352,0.04153476197670445,0.08915759902413756,3.1268633358753655,0.8915500766993039,-2.4787197437941875,0.43222417657751594,0.04124930182214917,0.0893449868816221,3.125334810527035,0.8909212256811617,-2.4793551342401683
vs060,move_to_pose,True,TOOL,True,100,100,0.36285710730691095,-0.015206757542019063,0.16163532314256618,3.1253347833223155,0.8909212309335524,-2.4793551361973507,0.36283806515856043,-0.015129564690933142,0.16150934268892744,3.125610440672298,0.8910572138866197,-2.4792563360344593
vs060,move_approach,True,WORLD,False,100,100,0.5094,-0.1552,0.1769,-3.141592653589793,0.0,-1.5707963267948963,0.5091126852697643,-0.1551123963414323,0.17679509779506622,-3.141415268669616,-5.4145403444783194e-05,-1.5707964059049948
vs060,move_to_pose,True,TOOL,True,100,100,0.5091329748573784,-0.15511861349353911,0.06179532807361479,-3.1414153211804137,-5.419630741149044e-05,-1.570796405818561,0.509190750985002,-0.15513622533582677,0.06180218590073286,-3.1414466377984573,-4.46846404181573e-05,-1.5707964041925873
vs060,move_to_pose,True,TOOL,True,100,100,0.509173959169456,-0.15513108660093547,0.17680218455998714,-3.141446637798456,-4.4684640417787114e-05,-1.570796404192589,0.5090228047068314,-0.15508502599344653,0.17678999245285965,-3.141124004113672,-0.00014294861833598569,-1.570796434466386
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.31,3.141592653589793,0,-1.5707963267948966,0.258172419800131,0.13568610449810564,0.3099272931277631,3.141147321855425,0.00026829105246466595,-1.570596746522436
vs060,move_to_pose,True,WORLD,True,100,100,0.2581723952740267,0.13568609653353034,0.00992721533857216,3.141147387725802,0.00026834381314805094,-1.5705967464935215,0.2582219026997089,0.13571590086757118,0.00999889190400624,3.1409546179372914,0.00013592415291813496,-1.570600041455354
vs060,move_to_pose,True,WORLD,True,100,100,0.25822190269970924,0.13571590086757135,0.30999889190400665,3.1409546179372927,0.00013592415291891044,-1.5706000414553545,0.2580895810918561,0.13564636690903975,0.3098695462036769,3.141062180859336,0.00019254083793197687,-1.5706000404927034
vs060,move_to_pose,True,WORLD,False,100,100,0.2618,-0.1192,0.305,3.141592653589793,0,-1.5707963267948966,0.2618056459572481,-0.11895049341298035,0.30491467143705564,3.1413883198877492,-0.0002686148329384856,-1.570941364665358
vs060,move_to_pose,True,WORLD,True,100,100,0.26180563033625953,-0.11895046596641032,0.004914581249472583,3.141388382912759,-0.0002685692925904594,-1.5709413646568084,0.26196048799419563,-0.11902447304420372,0.005085199018537712,3.141257743627681,-0.00017396349905955859,-1.5709379233046425
vs060,move_to_pose,True,WORLD,True,100,100,0.26196058740037936,-0.1190245143027316,0.3050850688475242,3.141257769639834,-0.0001739678331888453,-1.5709379236093655,0.261887391830914,-0.11899123093921554,0.3050168321095913,3.141501490035587,-0.00028463871300234356,-1.5709379583445988
vs060,move_approach,True,WORLD,False,100,100,0.5094,-0.1552,0.1769,-3.141592653589793,0.0,-1.5707963267948963,0.509215780940383,-0.15514379412935914,0.1768722944632568,-3.141380521858535,-6.469431860790114e-05,-1.5707963243928398
vs060,move_to_pose,True,TOOL,True,100,100,0.5092400663972281,-0.15515122439530143,0.061872525668707073,-3.1413805743667598,-6.474523119487784e-05,-1.5707963243075505,0.5093436619569333,-0.15518277801329078,0.06186967918710086,-3.1414478801222208,-4.4209334167716505e-05,-1.5707963206994107
vs060,move_to_pose,True,TOOL,True,100,100,0.5093270130081962,-0.15517769394001987,0.17686967786955562,-3.141447880122212,-4.420933417054502e-05,-1.570796320699411,0.5090191026867931,-0.15508389039897102,0.17678373950173557,-3.1411634724794055,-0.00013089381401498206,-1.5707963455948448
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.31,3.141592653589793,0,-1.5707963267948966,0.2582387471310195,0.1358240268014737,0.3100378143571635,-3.141515248260476,0.0003955946477923141,-1.5706567138422254
vs060,move_to_pose,True,WORLD,True,100,100,0.2582387471310198,0.13582402680147326,0.010037814357163777,-3.141515248260475,0.00039559464779171755,-1.5706567138422265,0.2584282329285392,0.1359264972833954,0.01027468707578022,-3.141575708686786,0.00033807591757891944,-1.570659398676862
vs060,move_to_pose,True,WORLD,True,100,100,0.25842813021142136,0.13592644212730515,0.31027479960900306,-3.141575770010586,0.00033804158175512153,-1.5706593987794755,0.25834387997907454,0.1358821401352292,0.3101914225918806,-3.141553437246929,0.00034982831188795025,-1.5706593420912207
vs060,move_joints,,,False,100,100,,,,,,,0.30038982243779266,9.71405716915635e-06,0.3902329236218412,-3.1415557098263394,0.001518796324146169,-3.141545301196543
vs060,move_to_pose,True,WORLD,False,100,100,0.2581,0.136,0.305,3.141592653589793,0,-1.5707963267948966,0.2580985552803691,0.1360405478592986,0.305014479415331,-3.1415483681809406,-3.619301264383364e-05,-1.5708200484827388
vs060,move_to_pose,True,WORLD,True,100,100,0.25809855528036946,0.13604054785929875,0.0050144794153310634,-3.1415483681809397,-3.619301264349266e-05,-1.5708200484827388,0.2582108283191373,0.13609917621783546,0.005132271733829713,3.1414783575350635,-0.0001148370395214007,-1.570819545535792
vs060,move_to_pose,True,WORLD,True,100,100,0.25821082831913744,0.13609917621783557,0.30513227173382995,3.1414783575350635,-0.00011483703952102951,-1.5708195455357923,0.25812532194157817,0.13605410446536126,0.305048537043001,3.1414538080441035,-0.00012779597923164867,-1.5708195441159596
vs060,move_approach,True,WORLD,False,100,100,0.4661354874337654,0.06049128250125703,0.1266761625123164,-3.068288825006032,1.24965574442794,-2.0315632493214,0.4660401791636448,0.06056823163408888,0.1266810166821575,-3.0680619670062432,1.2496152162670437,-2.0314911364649313
vs060,move_to_pose,True,TOOL,True,100,100,0.5219878444645811,0.15429115011015287,0.09047526082323383,-3.0680620374630045,1.249615222313763,-2.0314912204974367,0.5219225422312381,0.154324977923852,0.09048986153407138,-3.0678201654785,1.249617230600319,-2.031348133754599
vs060,move_to_pose,True,TOOL,True,100,100,0.46596418898038816,0.060608097635742916,0.1266949585580725,-3.067820165478504,1.2496172306003197,-2.0313481337546024,0.46592660012172915,0.06063571993136101,0.1266779251129905,-3.067689956031515,1.249624462477328,-2.031360993136626
vs060,move_approach,True,WORLD,False,100,100,0.4481354874337654,0.07099128250125704,0.1266761625123164,-3.068288825006032,1.24965574442794,-2.0315632493214,0.4482682165289956,0.0708446503751634,0.12659453627983602,-3.0702626674956064,1.2496592505126702,-2.032947307700192
vs060,move_to_pose,True,TOOL,True,100,100,0.5041349845003347,0.16461544883160603,0.09038738571757242,-3.0702625968793615,1.249659244552393,-2.032947223669417,0.5040908538701383,0.164629734853751,0.09042707005240566,-3.0700220191397745,1.2496496377785913,-2.032787799473508
vs060,move_to_pose,True,TOOL,True,100,100,0.44821540848601477,0.07086427911870037,0.1266344438031213,-3.070022019139775,1.2496496377785922,-2.032787799473509,0.44817426825155776,0.0709115319010573,0.12661756226465892,-3.0696888113837524,1.2496649138723377,-2.032626111657808
vs060,move_approach,True,WORLD,False,100,100,0.4816354874337655,0.05139128250125703,0.1266761625123164,-3.068288825006032,1.24965574442794,-2.0315632493214,0.48152468616365285,0.05145765516145202,0.1266940477226234,-3.0678496013991,1.2496320299192374,-2.031457913168374
vs060,move_to_pose,True,TOOL,True,100,100,0.537490571726821,0.1451706212543405,0.09049069552148972,-3.0678496721843898,1.2496320359673274,-2.03145799741442,0.5372914627003939,0.1452345474058922,0.09054937503006578,-3.0675728883102638,1.2495605983044238,-2.0314252855458212
vs060,move_to_pose,True,TOOL,True,100,100,0.4813022101170986,0.05153822403130005,0.1267602038512259,-3.0675729603631896,1.2495606030172903,-2.031425371508935,0.4812684761441427,0.05156796468258358,0.12675702015659823,-3.067428993558277,1.249563570456453,-2.0313265377582383
